div_num,div_name,num_of_schools,year,grant_26000_ps,grant_50000_pd,base_div_vpsa_technology_grant,schools_nfa,schools_nfa_2400_ps,9grade_fall_membership_s_nfa,elearn_backpack_funding_400per_9g,total_elearn_funding,total_tech_grant,total_lmr_20_percent
1,ACCOMACK,11,2011,286000,50000,,0,,,,,336000,67200
2,ALBEMARLE,26,2011,676000,50000,,1,,,,,752000,150400
3,ALLEGHANY,7,2011,182000,100000,,0,,,,,282000,46400
4,AMELIA,3,2011,78000,50000,,0,,,,,128000,25600
5,AMHERST,10,2011,260000,50000,,0,,,,,310000,62000
6,APPOMATTOX,4,2011,104000,50000,,0,,,,,154000,30800
7,ARLINGTON,30,2011,780000,50000,,0,,,,,830000,166000
8,AUGUSTA,21,2011,546000,50000,,0,,,,,596000,119200
9,BATH,3,2011,78000,50000,,0,,,,,128000,25600
10,BEDFORD,21,2011,546000,50000,,0,,,,,596000,119200
11,BLAND,4,2011,104000,50000,,0,,,,,154000,30800
12,BOTETOURT,11,2011,286000,50000,,0,,,,,336000,67200
13,BRUNSWICK,5,2011,130000,50000,,0,,,,,180000,36000
14,BUCHANAN,10,2011,260000,50000,,0,,,,,310000,62000
15,BUCKINGHAM,6,2011,156000,50000,,0,,,,,206000,41200
16,CAMPBELL,13,2011,338000,50000,,0,,,,,388000,77600
17,CAROLINE,6,2011,156000,50000,,0,,,,,206000,41200
18,CARROLL,10,2011,260000,50000,,0,,,,,310000,62000
19,CHARLES CITY,3,2011,78000,50000,,0,,,,,128000,25600
20,CHARLOTTE,6,2011,156000,50000,,0,,,,,206000,41200
21,CHESTERFIELD,61,2011,1586000,50000,,0,,,,,1636000,327200
22,CLARKE,4,2011,104000,50000,,0,,,,,154000,30800
23,CRAIG,2,2011,52000,50000,,0,,,,,102000,20400
24,CULPEPER,10,2011,260000,50000,,0,,,,,310000,62000
25,CUMBERLAND,3,2011,78000,50000,,0,,,,,128000,25600
26,DICKENSON,8,2011,208000,50000,,0,,,,,258000,51600
27,DINWIDDIE,8,2011,208000,50000,,0,,,,,258000,51600
28,ESSEX,3,2011,78000,50000,,0,,,,,128000,25600
29,FAIRFAX,191,2011,4966000,50000,,1,,,,,5042000,1008400
30,FAUQUIER,19,2011,494000,50000,,0,,,,,544000,108800
31,FLOYD,5,2011,130000,50000,,0,,,,,180000,36000
32,FLUVANNA,5,2011,130000,50000,,0,,,,,180000,36000
33,FRANKLIN,16,2011,416000,50000,,0,,,,,466000,93200
34,FREDERICK,18,2011,468000,50000,,0,,,,,518000,103600
35,GILES,5,2011,130000,50000,,0,,,,,180000,36000
36,GLOUCESTER,9,2011,234000,50000,,0,,,,,284000,56800
37,GOOCHLAND,5,2011,130000,50000,,0,,,,,180000,36000
38,GRAYSON,7,2011,182000,50000,,0,,,,,232000,46400
39,GREENE,5,2011,130000,50000,,0,,,,,180000,36000
40,GREENSVILLE,4,2011,104000,50000,,0,,,,,154000,30800
41,HALIFAX,9,2011,234000,50000,,0,,,,,284000,56800
42,HANOVER,23,2011,598000,50000,,0,,,,,648000,129600
43,HENRICO,67,2011,1742000,50000,,1,,,,,1818000,363600
44,HENRY,14,2011,364000,50000,,0,,,,,414000,82800
45,HIGHLAND,2,2011,52000,50000,,0,,,,,102000,20400
46,ISLE OF WIGHT,9,2011,234000,50000,,0,,,,,284000,56800
48,KING GEORGE,5,2011,130000,50000,,0,,,,,180000,36000
49,KING QUEEN,3,2011,78000,50000,,0,,,,,128000,25600
50,KING WILLIAM,4,2011,104000,50000,,0,,,,,154000,30800
51,LANCASTER,3,2011,78000,50000,,0,,,,,128000,25600
52,LEE,13,2011,338000,50000,,0,,,,,388000,77600
53,LOUDOUN,77,2011,2002000,50000,,0,,,,,2052000,410400
54,LOUISA,6,2011,156000,50000,,0,,,,,206000,41200
55,LUNENBURG,4,2011,104000,50000,,0,,,,,154000,30800
56,MADISON,4,2011,104000,50000,,0,,,,,154000,30800
57,MATHEWS,3,2011,78000,50000,,0,,,,,128000,25600
58,MECKLENBURG,9,2011,234000,50000,,0,,,,,284000,56800
59,MIDDLESEX,3,2011,78000,50000,,0,,,,,128000,25600
60,MONTGOMERY,19,2011,494000,50000,,0,,,,,544000,108800
62,NELSON,4,2011,104000,50000,,0,,,,,154000,30800
63,NEW KENT,4,2011,104000,50000,,0,,,,,154000,30800
65,NORTHAMPTON,3,2011,78000,50000,,1,,,,,154000,30800
66,NORTHUMBERLAND,3,2011,78000,50000,,0,,,,,128000,25600
67,NOTTOWAY,6,2011,156000,50000,,0,,,,,206000,41200
68,ORANGE,8,2011,208000,50000,,0,,,,,258000,51600
69,PAGE,8,2011,208000,50000,,1,,,,,284000,56800
70,PATRICK,7,2011,182000,50000,,0,,,,,232000,46400
71,PITTSYLVANIA,18,2011,468000,50000,,0,,,,,518000,103600
72,POWHATAN,6,2011,156000,50000,,0,,,,,206000,41200
73,PRINCE EDWARD,3,2011,78000,50000,,0,,,,,128000,25600
74,PRINCE GEORGE,8,2011,208000,50000,,0,,,,,258000,51600
75,PRINCE WILLIAM,82,2011,2132000,50000,,0,,,,,2182000,436400
77,PULASKI,8,2011,208000,50000,,0,,,,,258000,51600
78,RAPPAHANNOCK,2,2011,52000,50000,,0,,,,,102000,20400
79,RICHMOND,3,2011,78000,50000,,0,,,,,128000,25600
80,ROANOKE,26,2011,676000,50000,,0,,,,,726000,145200
81,ROCKBRIDGE,7,2011,182000,50000,,0,,,,,232000,46400
82,ROCKINGHAM,23,2011,598000,50000,,0,,,,,648000,129600
83,RUSSELL,13,2011,338000,50000,,0,,,,,388000,77600
84,SCOTT,13,2011,338000,50000,,0,,,,,388000,77600
85,SHENANDOAH,9,2011,234000,50000,,0,,,,,284000,56800
86,SMYTH,13,2011,338000,50000,,0,,,,,388000,77600
87,SOUTHAMPTON,6,2011,156000,50000,,0,,,,,206000,41200
88,SPOTSYLVANIA,29,2011,754000,50000,,0,,,,,804000,160800
