county,Year,internet
1,2008,50
3,2008,70
5,2008,50
7,2008,30
9,2008,30
11,2008,10
13,2008,90
15,2008,50
17,2008,30
19,2008,50
21,2008,10
23,2008,50
25,2008,10
27,2008,10
29,2008,10
31,2008,50
33,2008,10
35,2008,30
36,2008,10
37,2008,10
41,2008,70
43,2008,50
45,2008,30
47,2008,30
49,2008,30
51,2008,10
53,2008,30
57,2008,10
59,2008,90
61,2008,50
63,2008,50
65,2008,50
67,2008,30
69,2008,50
71,2008,30
73,2008,50
75,2008,30
77,2008,30
79,2008,50
81,2008,10
83,2008,30
85,2008,70
87,2008,70
89,2008,30
91,2008,30
93,2008,50
95,2008,70
97,2008,10
99,2008,50
101,2008,30
103,2008,30
105,2008,10
107,2008,70
109,2008,30
111,2008,10
113,2008,30
115,2008,10
117,2008,30
119,2008,50
121,2008,50
125,2008,30
127,2008,50
131,2008,50
133,2008,10
135,2008,30
137,2008,50
139,2008,30
141,2008,30
143,2008,30
145,2008,50
147,2008,50
149,2008,50
153,2008,90
155,2008,30
157,2008,50
159,2008,10
161,2008,50
163,2008,30
165,2008,30
167,2008,30
169,2008,30
171,2008,50
173,2008,30
175,2008,30
177,2008,70
179,2008,70
181,2008,10
183,2008,30
185,2008,30
187,2008,50
191,2008,50
193,2008,30
195,2008,50
197,2008,30
199,2008,90
510,2008,70
515,2008,10
520,2008,50
530,2008,50
540,2008,70
550,2008,70
570,2008,70
580,2008,30
590,2008,30
595,2008,10
600,2008,90
610,2008,90
620,2008,30
630,2008,50
640,2008,30
650,2008,70
660,2008,70
670,2008,30
678,2008,50
680,2008,30
683,2008,30
685,2008,70
690,2008,30
700,2008,70
710,2008,70
720,2008,50
730,2008,30
735,2008,90
740,2008,50
750,2008,50
760,2008,50
770,2008,50
775,2008,50
790,2008,30
800,2008,50
810,2008,70
820,2008,50
830,2008,70
840,2008,50
1,2009,50
3,2009,70
5,2009,50
7,2009,50
9,2009,50
11,2009,30
13,2009,70
15,2009,50
17,2009,50
19,2009,50
21,2009,30
23,2009,50
25,2009,10
27,2009,30
29,2009,10
31,2009,50
33,2009,30
35,2009,30
36,2009,30
37,2009,10
41,2009,90
43,2009,70
45,2009,30
47,2009,50
49,2009,50
51,2009,30
53,2009,30
57,2009,30
59,2009,90
61,2009,50
63,2009,50
65,2009,70
67,2009,50
69,2009,50
71,2009,50
73,2009,50
75,2009,50
77,2009,30
79,2009,50
81,2009,10
83,2009,30
85,2009,70
87,2009,70
89,2009,50
91,2009,50
93,2009,50
95,2009,70
97,2009,10
99,2009,50
101,2009,30
103,2009,30
105,2009,10
107,2009,70
109,2009,30
