year,div_num,div_name,july,aug,sept,oct,nov,dec,total_2014,jan,feb,mar,apr,may,jun,total_2015
2014,1,ACCOMACK,386467.92,354139.2,359153.86,358630.8,360025.78,345506.64,4314995.64,,,,,,,
2014,2,ALBEMARLE,1214931.88,1113300.68,1129065.18,1127420.84,1131806.26,1086162.68,13587526.3,,,,,,,
2014,3,ALLEGHANY,192480.04,176378.74,178876.28,178615.78,179310.56,172079.3,2145179.06,,,,,,,
2014,4,AMELIA,155373.88,142376.58,144392.64,144182.36,144743.2,138905.98,1732737.42,,,,,,,
2014,5,AMHERST,394466.06,361468.28,366586.72,366052.84,367476.7,352657.08,4394651.3,,,,,,,
2014,6,APPOMATTOX,188612.08,172834.34,175281.7,175026.42,175707.24,168621.3,2103625.26,,,,,,,
2014,7,ARLINGTON,1723142.12,1578998.22,1601357.08,1599024.88,1605244.74,1540508.3,19326982.36,,,,,,,
2014,8,AUGUSTA,891924.7,817313.6,828886.88,827679.72,830899.2,797390.64,9965583.68,,,,,,,
2014,9,BATH,50217.88,46017.06,46668.68,46600.72,46781.98,44895.34,559224.74,,,,,,,
2014,10,BEDFORD,964235.82,883575.78,896087.34,894782.3,898262.82,862037.6,10852002.66,,,,,,,
2014,11,BLAND,70082.14,64219.64,65129,65034.16,65287.12,62654.22,782486.26,,,,,,,
2014,12,BOTETOURT,441471.58,404541.7,410270.08,409672.56,411266.1,394680.52,4920198.32,,,,,,,
2014,13,BRUNSWICK,187235.34,171572.78,174002.28,173748.86,174424.7,167390.5,2089288.4,,,,,,,
2014,14,BUCHANAN,256530.78,235071.52,238400.18,238052.98,238978.94,229341.38,2857279.56,,,,,,,
2014,15,BUCKINGHAM,179368.32,164363.84,166691.26,166448.48,167095.94,160357.28,2007047.74,,,,,,,
2014,16,CAMPBELL,681481.6,624474.46,633317.1,632394.76,634854.64,609252.16,7609914.5,,,,,,,
2014,17,CAROLINE,370930.54,339901.54,344714.6,344212.56,345551.46,331616.04,4143446.16,,,,,,,
2014,18,CARROLL,349689.54,320437.4,324974.84,324501.56,325763.8,312626.36,3900509.42,,,,,,,
2014,19,CHARLES CITY,74605.68,68364.78,69332.84,69231.86,69501.16,66698.32,833695.5,,,,,,,
2014,20,CHARLOTTE,159110.72,145800.82,147865.38,147650.04,148224.36,142246.76,1778901.08,,,,,,,
2014,21,CHESTERFIELD,4742574.34,4345849.58,4407387.46,4400968.64,4418087.44,4239914.44,52994890,,,,,,,
2014,22,CLARKE,187956.5,172233.6,174672.46,174418.06,175096.52,168035.2,2091944.9,,,,,,,
2014,23,CRAIG,65099.68,59653.98,60498.7,60410.58,60645.56,58199.84,725107.16,,,,,,,
2014,24,CULPEPER,674335.72,617926.34,626676.26,625763.58,628197.66,602863.66,7542602.38,,,,,,,
2014,25,CUMBERLAND,128363.72,117625.88,119291.48,119117.74,119581.08,114758.6,1429462.22,,,,,,,
2014,26,DICKENSON,185530.82,170010.84,172418.22,172167.12,172836.8,165866.62,2071841.8,,,,,,,
2014,27,DINWIDDIE,355196.46,325483.66,330092.56,329611.82,330893.92,317549.62,3972522.02,,,,,,,
2014,28,ESSEX,138853.1,127237.8,129039.5,128851.58,129352.78,124136.22,1546581.9,,,,,,,
2014,29,FAIRFAX,14636677.56,13412293.48,13602213.58,13582403.58,13635236.16,13085353.24,163614871,,,,,,,
2014,30,FAUQUIER,948632.88,869278.04,881587.16,880303.24,883727.42,848088.38,10593878,,,,,,,
2014,31,FLOYD,188808.76,173014.56,175464.48,175208.94,175890.46,168797.14,2110179,,,,,,,
2014,32,FLUVANNA,329038.6,301513.92,305783.42,305338.08,306525.78,294164.18,3669870.62,,,,,,,
2014,33,FRANKLIN,653422.52,598762.56,607241.14,606356.76,608715.36,584167.04,7297866.52,,,,,,,
2014,34,FREDERICK,1120330.84,1026613.18,1041150.16,1039633.86,1043677.8,1001588.28,12514132.64,,,,,,,
2014,35,GILES,211426.48,193740.28,196483.66,196197.5,196960.68,189017.62,2364016.42,,,,,,,
2014,36,GLOUCESTER,465728.26,426769.26,432812.38,432182.04,433863.14,416366.26,5191670.28,,,,,,,
2014,37,GOOCHLAND,252925.06,231767.44,235049.3,234706.98,235619.92,226117.82,2826018.54,,,,,,,
2014,38,GRAYSON,166977.74,153009.76,155176.4,154950.4,155553.12,149279.96,1862982.48,,,,,,,
2014,39,GREENE,251417.22,230385.72,233648.02,233307.74,234215.24,224769.8,2814512.08,,,,,,,
2014,40,GREENSVILLE,115448.68,105791.2,107289.22,107132.96,107549.68,103212.42,1284017.24,,,,,,,
2014,41,HALIFAX,457861.24,419560.32,425501.36,424881.68,426534.36,409333.06,5107711.6,,,,,,,
2014,42,HANOVER,1463267.84,1340862.9,1359849.72,1357869.26,1363151.06,1308177.8,16342397.46,,,,,,,
2014,43,HENRICO,4156480.5,3808783.52,3862716.48,3857090.9,3872094.12,3715940,46471207.52,,,,,,,
